TMeV,BQS200,BQS400,BQS600
50,3.35E-07,3.35E-07,0.00E+00
52,6.59E-07,6.59E-07,0.00E+00
54,1.23E-06,1.23E-06,0.00E+00
56,2.21E-06,2.21E-06,0.00E+00
58,3.80E-06,3.80E-06,0.00E+00
60,6.30E-06,6.30E-06,0.00E+00
62,1.01E-05,1.01E-05,0.00E+00
64,1.58E-05,1.58E-05,0.00E+00
66,2.41E-05,2.41E-05,0.00E+00
68,3.58E-05,3.58E-05,0.00E+00
70,5.20E-05,5.20E-05,0.00E+00
72,7.42E-05,7.42E-05,0.00E+00
74,0.000103877,0.000103879,0.00E+00
76,0.000143043,0.000143047,0.00E+00
78,0.00019399,0.000193996,0.00E+00
80,0.000259403,0.000259409,0.00E+00
82,0.000342383,0.00034239,0.00E+00
84,0.000446489,0.000446493,0.00E+00
86,0.000575766,0.000575758,0.00E+00
88,0.000734782,0.000734743,0.00E+00
90,0.000928657,0.000928553,0.00E+00
92,0.0011631,0.00116287,0.00E+00
94,0.00144443,0.00144396,0.00E+00
96,0.00177962,0.00177874,0.00E+00
98,0.00217631,0.00217471,0.00E+00
100,0.00264283,0.00264005,0.00E+00
102,0.00318821,0.00318355,0.00E+00
104,0.00382223,0.00381461,0.00E+00
106,0.0045554,0.00454324,0.00E+00
108,0.00539897,0.00537994,0.00E+00
110,0.00636493,0.00633571,0.00E+00
112,0.00746598,0.00742188,0.00E+00
114,0.00871554,0.00864998,0.00E+00
116,0.0101277,0.0100316,0.00E+00
118,0.0117171,0.0115782,0.00E+00
120,0.0134991,0.0133006,0.00E+00
122,0.0154892,0.015209,0.015209
124,0.0177036,0.0173123,0.0173123
126,0.0201585,0.0196178,0.0196178
128,0.0228703,0.0221303,0.0221303
130,0.025855,0.0248518,0.0248518
134.5,0.0414368,0.036219669,0.012766888
135,0.04225315,0.037058936,0.011563739
135.5,0.04308508,0.037923965,0.010352691
136,0.04400272,0.038815056,0.009132928
136.5,0.04492339,0.039732442,0.007903635
137,0.04600173,0.040676279,0.006663994
137.5,0.04706668,0.041646635,0.005413189
138,0.04818447,0.042643479,0.004150405
138.5,0.04939312,0.04366667,0.002874825
139,0.05064227,0.044715942,0.001585633
139.5,0.05191654,0.045790893,0.000282012
140,0.05323407,0.046890969,-0.001036853
140.5,0.05462921,0.048015453,-0.002371779
141,0.05602289,0.049163446,-0.003723379
141.5,0.057501,0.050333859,-0.005090569
142,0.05897904,0.051525391,-0.006471419
142.5,0.06059045,0.052736522,-0.007863993
143,0.0621576,0.053965499,-0.009266356
143.5,0.06377852,0.055210321,-0.010676572
144,0.0654955,0.056468733,-0.012092704
144.5,0.06715066,0.057738217,-0.013512818
145,0.06891539,0.059015985,-0.014934976
145.5,0.07068386,0.06029898,-0.016357221
146,0.07246967,0.061583873,-0.017777423
146.5,0.07431326,0.062867074,-0.01919337
147,0.07614536,0.064144737,-0.020602853
147.5,0.07805328,0.065412776,-0.02200366
148,0.07998208,0.066666886,-0.023393582
148.5,0.08186721,0.067902568,-0.024770406
149,0.08386271,0.069115159,-0.026131923
149.5,0.08581988,0.070299872,-0.027475922
150,0.08783941,0.071451834,-0.028800191
150.5,0.0898402,0.072566136,-0.030102521
151,0.09185782,0.073637884,-0.031380701
151.5,0.09390733,0.074662253,-0.032632488
152,0.09595212,0.075634548,-0.033855341
152.5,0.09802942,0.076550261,-0.035046545
153,0.1001401,0.07740513,-0.036203389
153.5,0.1022235,0.078195199,-0.037323156
154,0.1043132,0.078916873,-0.038403134
154.5,0.1064449,0.079566968,-0.039440607
155,0.1085369,0.080142756,-0.040432863
155.5,0.1106486,0.080642006,-0.041377186
156,0.1127626,0.081063009,-0.042270862
156.5,0.1149147,0.081404602,-0.043111178
157,0.1170066,0.081666177,-0.043895419
157.5,0.1191059,0.081847684,-0.044620597
158,0.1212605,0.081949619,-0.045283051
158.5,0.1233587,0.081973008,-0.045879019
159,0.1254454,0.08191938,-0.046404738
159.5,0.1275624,0.081790729,-0.046856446
160,0.12967,0.081589479,-0.04723038
160.5,0.1317263,0.081318431,-0.047522777
161,0.1338161,0.080980717,-0.047729875
161.5,0.1358257,0.080579749,-0.04784791
162,0.137817,0.080119163,-0.047873121
162.5,0.1399135,0.079602768,-0.04780176
163,0.1419471,0.079034496,-0.047632716
163.5,0.143882,0.078418351,-0.047370509
164,0.1458902,0.077758367,-0.04702038
164.5,0.1477783,0.077058566,-0.046587571
165,0.1497446,0.07632292,-0.046077322
165.5,0.1516184,0.07555532,-0.045494876
166,0.1534389,0.074759547,-0.044845475
166.5,0.155334,0.07393925,-0.044134501
167,0.1570986,0.073097926,-0.043368676
167.5,0.158894,0.072238904,-0.042555459
168,0.1606341,0.071365339,-0.041702315
168.5,0.1623818,0.070480199,-0.040816709
169,0.1640204,0.069586263,-0.039906108
169.5,0.1657004,0.068686118,-0.038977977
170,0.1673131,0.067782162,-0.038039781
170.5,0.1688197,0.066876605,-0.037098986
171,0.1703739,0.065971474,-0.036163057
171.5,0.1718388,0.065068617,-0.035239071
172,0.1733037,0.064169713,-0.034328543
172.5,0.1746977,0.063276275,-0.033428839
173,0.1760225,0.062389663,-0.032537228
173.5,0.1773476,0.061511091,-0.031650977
174,0.1786107,0.060641632,-0.030767356
174.5,0.1798785,0.059782233,-0.02988363
175,0.1809035,0.058933718,-0.02899707
175.5,0.1820119,0.058096803,-0.028104942
176,0.1830561,0.057272099,-0.02720454
176.5,0.1841266,0.05646012,-0.026294985
177,0.1850281,0.055661297,-0.025378396
177.5,0.1859443,0.054875978,-0.024457169
178,0.1867385,0.054104441,-0.0235337
